rs,beta,tau,if_noise,ser,ber,evm,gmi,eye_opening,sigma2,n_processed,freq_offset_hz
1411.764705882353,0.25,1.0,0.05,0.000000,0.000000,0.0704,4.0000,0.7565,0.001669,1279,0.006
1411.764705882353,0.25,1.0,0.1,0.000000,0.000000,0.0641,4.0000,0.7624,0.001376,1279,-0.004
1411.764705882353,0.25,1.0,0.165,0.000000,0.000000,0.0735,4.0000,0.7252,0.001677,1279,0.002
1411.764705882353,0.25,1.0,0.3,0.000000,0.000000,0.0728,4.0000,0.7164,0.001784,1279,0.003
1411.764705882353,0.25,1.0,0.5,0.078920,0.024922,0.2041,3.3019,0.2123,0.067080,1279,-0.015
1500.0,0.15,1.0,0.0,0.008333,0.002083,0.1660,3.9062,0.3705,0.009136,1276,0.013
1500.0,0.15,1.0,0.05,0.006250,0.001563,0.1728,3.9522,0.3340,0.008772,1276,-0.009
1500.0,0.15,1.0,0.1,0.003125,0.001042,0.1660,3.9883,0.3903,0.009096,1276,0.005
1500.0,0.15,1.0,0.165,0.013542,0.003385,0.1759,3.9012,0.3269,0.010616,1276,-0.015
1500.0,0.15,1.0,0.3,0.004167,0.001042,0.1662,3.9668,0.3756,0.008976,1276,0.014
1500.0,0.15,1.0,0.5,0.081250,0.028385,0.2035,3.3298,0.2217,0.081684,1276,0.008
1500.0,0.2,1.0,0.0,0.000000,0.000000,0.1180,4.0000,0.5384,0.004952,1276,0.008
1500.0,0.2,1.0,0.05,0.000000,0.000000,0.1189,4.0000,0.5375,0.004514,1276,-0.007
1500.0,0.2,1.0,0.1,0.000000,0.000000,0.1161,4.0000,0.5388,0.004356,1276,-0.002
1500.0,0.2,1.0,0.165,0.000000,0.000000,0.1102,4.0000,0.5698,0.004065,1276,0.001
1500.0,0.2,1.0,0.3,0.000000,0.000000,0.1175,4.0000,0.5641,0.004293,1276,-0.004
1500.0,0.2,1.0,0.5,0.268750,0.077344,0.2559,2.5593,0.0000,0.088964,1276,0.017
1500.0,0.25,1.0,0.0,0.001042,0.000260,0.1279,3.9981,0.4813,0.005540,1276,-0.005
1500.0,0.25,1.0,0.05,0.000000,0.000000,0.1358,4.0000,0.4763,0.005187,1276,0.009
1500.0,0.25,1.0,0.1,0.000000,0.000000,0.1231,4.0000,0.5267,0.005125,1276,-0.000
1500.0,0.25,1.0,0.165,0.000000,0.000000,0.1328,3.9998,0.4877,0.005541,1276,0.005
1500.0,0.25,1.0,0.3,0.000000,0.000000,0.1304,4.0000,0.4962,0.005924,1276,0.013
1500.0,0.25,1.0,0.5,0.692708,0.271615,0.2962,-0.8373,0.0000,0.155428,1276,-0.226
1600.0,0.15,1.0,0.0,0.665276,0.223670,0.3999,0.1146,0.0000,0.132779,1273,0.132
1600.0,0.15,1.0,0.05,0.767466,0.305787,0.3580,-1.0311,0.0000,0.187757,1273,-0.315
1600.0,0.15,1.0,0.1,0.739312,0.264077,0.3584,-0.6422,0.0000,0.139689,1273,-0.085
1600.0,0.15,1.0,0.165,0.795620,0.304484,0.3392,-1.4183,0.0000,0.179504,1273,0.424
1600.0,0.15,1.0,0.3,0.716371,0.240615,0.3594,-0.1470,0.0000,0.135204,1273,-0.061
1600.0,0.15,1.0,0.5,0.759124,0.320647,0.3391,-1.1038,0.0000,0.243540,1273,-0.227
1600.0,0.2,1.0,0.0,0.762252,0.288582,0.3511,-1.6308,0.0000,0.146005,1273,-0.211
1600.0,0.2,1.0,0.05,0.662148,0.219239,0.3771,0.3405,0.0000,0.141654,1273,0.237
1600.0,0.2,1.0,0.1,0.712200,0.252868,0.3447,-0.6950,0.0000,0.143229,1273,0.271
1600.0,0.2,1.0,0.165,0.686131,0.231491,0.3570,-0.1786,0.0000,0.118807,1273,-0.078
1600.0,0.2,1.0,0.3,0.751825,0.278154,0.3639,-1.4181,0.0000,0.151566,1273,-0.384
1600.0,0.2,1.0,0.5,0.845673,0.361575,0.4414,-1.5806,0.0000,0.307194,1273,0.200
1600.0,0.25,1.0,0.0,0.753910,0.285975,0.4039,-0.6536,0.0000,0.178279,1273,0.474
1600.0,0.25,1.0,0.05,0.684046,0.235141,0.3489,-0.1967,0.0000,0.133215,1273,0.140
1600.0,0.25,1.0,0.1,0.697602,0.247393,0.3910,-0.1104,0.0000,0.155899,1273,-0.091
1600.0,0.25,1.0,0.165,0.710115,0.262252,0.3945,-1.3695,0.0000,0.151840,1273,-0.214
1600.0,0.25,1.0,0.3,0.683003,0.232534,0.3573,-0.2805,0.0000,0.129691,1273,-0.077
1600.0,0.25,1.0,0.5,0.807091,0.353754,0.3483,-0.9792,0.0000,0.343431,1273,-0.411
2000.0,0.15,1.0,0.0,0.925026,0.491288,7.5578,-0.1747,0.0000,19.867720,1261,0.290
2000.0,0.15,1.0,0.05,0.939810,0.500528,6.0461,-0.2289,0.0000,12.712962,1261,-3.660
2000.0,0.15,1.0,0.1,0.944034,0.509504,7.2268,-0.2070,0.0000,18.674925,1261,-0.419
2000.0,0.15,1.0,0.165,0.940866,0.503960,5.4311,-0.2285,0.0000,11.703410,1261,3.900
