profile,if_noise,sigma2,snr_est_db,converged,total,cycles,decoded_bytes,ber_byte,exact,tx_time_s,total_time_s
HIGH++,0.0,0.0073,21.366771398795443,68,69,38,10020,0.0,1,0.10585618019104004,5.49347996711731
HIGH++,0.3,0.0074,21.307682802690238,68,69,38,10020,0.0,1,0.10585618019104004,5.717272043228149
HIGH++,0.45,0.0266,15.75118363368933,26,69,38,5616,0.3881790564689064,0,0.10585618019104004,13.693883657455444
HIGH++,0.55,0.2127,6.722325100972711,0,57,32,0,1.0,0,0.10585618019104004,13.000497341156006
